videoID,uploaderID,title,categoryID,themeID,publishTime,duration
1,11,影视飓风的舆情，说明互联网已经烂完了,4,1,2025-11-15 16:05:47,40:17
2,11,头上长摄像头，还能好好生活吗？,4,1,2025-10-23 20:11:47,21:29
3,11,2025是还可以嘲笑AIGC视频的最后一年了,4,1,2025-10-20 09:00:00,26:07
4,11,我们讨厌预制菜，其实是在反抗现代生活,4,1,2025-09-17 01:22:44,22:31
5,11,罗永浩虽然不打辩论赛，但他是最NB的辩手,4,1,2025-09-15 00:51:55,28:36
6,11,为什么既要又要，最终什么都得不到？关于【不可能三角】的真相,4,1,2025-08-16 11:38:22,27:12
7,11,他 们 听 完 抓 耳 挠 腮,4,1,2025-07-04 15:28:30,04:40
8,11,答辩还是神作？AI挑战今年最抽象的高考作文题,4,1,2025-06-12 16:17:14,141:40
9,11,《解密百大1：潮、巢、lks》,4,1,2025-06-08 18:30:02,21:57
10,11,AI帮22斤巨猫减肥？夸克深度搜索实测解决生活难题,4,1,2025-05-11 16:37:24,16:55
11,11,对话何同学：我是一块情绪的海绵,4,1,2024-08-08 19:00:00,36:07
12,11,公主殿下是谁？不太熟，我只认识fufu,4,1,2024-07-14 23:20:13,18:25
13,11,地狱梗这东西上不得台面,4,1,2024-07-06 23:48:11,25:15
14,11,聊聊Manner：顾客就不应该是上帝 | 三观不正03,4,1,2024-06-24 16:14:05,17:07
15,11,为什么最近你总能看到电动牙刷的广告？｜轻研究01,4,1,2024-06-15 13:01:15,30:53
16,11,重生之我来福州做高中生,4,1,2024-05-27 12:39:30,15:41
17,11,浓度大检测！找出6个人中的真二次元 | 以假乱真ep5,4,1,2024-05-25 19:55:00,49:00
18,11,企业家现状：要么不吭声，要么做网红,4,1,2024-05-08 18:00:00,25:34
19,11,青年的两次跨越：【非黑即白】和【不过如此】,4,1,2024-05-04 21:57:57,14:43
20,11,国产手机卷AI：新营销战？,4,1,2024-04-03 20:57:14,26:33
21,11,阿B听劝！根据我的预判调整了创作激励,4,1,2024-03-19 17:03:40,13:05
22,11,一场彻头彻尾的反智闹剧｜评农夫山泉风波,4,1,2024-03-11 14:21:11,08:31
23,11,三年间，电影市场天翻地覆,4,1,2024-03-08 17:14:23,27:54
24,11,花三个月调研了200位up主的收入，他们明年还会继续当up主吗？【阿Test正经比比】,4,1,2024-02-22 18:23:50,33:41
25,11,全员被diss！找出6个人中的职业rapper｜以假乱真ep4,4,1,2024-02-17 18:00:00,41:27
26,11,贾玲热辣滚烫：一半真诚，一半空洞,4,1,2024-02-14 20:21:32,15:56
27,11,研究生导师是老板，但学生又不受劳动法保护 | 1月份网络热门话题鉴定,4,1,2024-02-08 22:40:50,15:59
28,11,戳破恋爱伪装！找出藏在6个人中的4名母胎solo！ | 以假乱真ep3,4,1,2024-01-28 19:22:08,44:22
29,11,第十一届新国辩：up主跨界表演赛 出圈是小众亚文化之祸/福,4,1,2024-01-24 21:55:00,69:17
30,11,只靠提问，找出6个人中的真留学生！| 以假乱真ep2,4,1,2023-12-19 12:00:00,34:44
31,11,11月网络热门话题鉴定 | 其实没人在意五月天唱功的,4,1,2023-12-09 17:24:14,18:10
32,11,【播客】当我的心脏动脉堵了90%——与疾病和衰老共存的余生,4,1,2023-12-08 16:00:00,99:31
33,11,ZEALER前员工从传播学角度聊聊王自如,4,1,2023-11-26 16:29:44,21:27
34,11,10月网络热门话题鉴定 | 冷知识：除夕从来都不是法定节假日,4,1,2023-11-04 13:14:30,12:44
35,11,只靠提问，找到6个人里的财务自由者!丨以假乱真1,4,1,2023-11-03 12:00:00,25:23
36,11,流浪狗该不该杀？大型犬要不要养？养狗背后的三种社会矛盾,4,1,2023-10-27 23:50:01,25:00
37,11,9月互联网热门话题鉴定,4,1,2023-10-10 21:43:32,20:54
38,11,从工人到老板——奇凌电子创始人访谈,4,1,2023-09-16 12:30:00,49:39
39,11,小白想要理解商业，从这十个问题开始,4,1,2023-09-02 18:12:03,23:24
40,11,《老 蒋 基 德 父 慈 子 孝》,4,1,2023-08-16 11:10:21,27:47
41,11,面试必备！每个人都应该掌握的快速调研法,4,1,2023-08-04 23:20:56,21:54
42,11,一个小时调研全新领域，能了解到什么程度？,4,1,2023-07-17 22:05:56,22:34
43,11,用30分钟说清楚B站引入播放分钟数背后的心思,4,1,2023-06-27 23:39:14,30:18
44,11,画质不如电视白天难看清，投影机是如何逆袭的？【品类战争】,4,1,2023-06-13 20:23:37,127:49
45,11,5月老蒋书影音报告：漫长的季节/底特律变人/无限恐怖,4,1,2023-06-02 13:21:43,37:04
46,11,社区自古以来就不好变现,4,1,2023-05-03 13:05:52,25:08
47,11,年轻用户对B站不是财富，是诅咒【解构B站2】,4,1,2023-04-29 10:37:33,22:33
