movie_id,title,release_date,genres
103,Automata,2014-10-17,"Action, Drama, Sci-Fi, Thriller"
104,Carrie,1976-11-16,Horror
105,Our Lovers,2016-06-03,"Comedy, Drama, Romance"
106,My Little Pony: The Movie,2017-10-06,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical"
107,The Adventures of Food Boy,2008-04-01,"Comedy, Fantasy"
108,Chopsticks,2019-05-31,"Comedy, Drama"
109,Faster,2010-11-24,"Action, Crime, Drama, Thriller"
110,Abzurdah,2015-06-04,"Biography, Drama, Romance"
111,Little Lunch: The Nightmare Before Graduation,NOT AVAILABLE,"Comedy, Family"
112,Midnight Special,2016-04-21,"Drama, Mystery, Sci-Fi, Thriller"
113,Hired Gun,2017-08-01,"Documentary, Music"
114,The Amazing Spider-Man 2,2014-05-02,"Action, Adventure, Sci-Fi"
115,Make It Happen,2008-08-08,Drama
116,Take the 10,2017-01-20,Comedy
117,Love By Chance,2016-04-16,"Comedy, Romance"
118,Bright,2017-12-22,"Action, Fantasy, Thriller"
119,Percentage,2014-04-24,"Action, Crime, Thriller"
120,Holiday: A Soldier Is Never Off Duty,2014-06-06,"Action, Thriller"
121,Extraction,2015-12-18,"Action, Thriller"
122,Django Unchained,2012-12-25,"Drama, Western"
123,Miller's Crossing,1990-10-05,"Crime, Drama, Thriller"
124,Chosen,2016-08-02,"Drama, War"
125,The Fate of the Furious,2017-04-14,"Action, Adventure, Crime, Thriller"
126,Blow,2001-04-06,"Biography, Crime, Drama"
127,Looking Glass,2018-02-16,"Mystery, Thriller"
128,True Memoirs of an International Assassin,2016-11-11,"Action, Comedy, Crime"
129,The Longest Yard,2005-05-27,"Comedy, Crime, Sport"
130,Ugly,2014-12-26,"Crime, Drama, Mystery, Thriller"
131,From Dusk Till Dawn 2: Texas Blood Money,1999-03-16,"Crime, Horror, Thriller"
132,National Security,2003-01-17,"Action, Comedy, Crime, Thriller"
133,War Machine,2017-05-26,"Comedy, Drama, War"
134,Dirty Grandpa,2016-01-22,Comedy
135,Now You See Me 2,2016-06-10,"Action, Adventure, Comedy, Crime, Mystery, Thriller"
136,The Babysitter,1995-10-17,"Drama, Thriller"
137,The Preacher's Son,2017-03-03,"Drama, Mystery, Romance"
138,Killing Me Softly,2002-06-21,"Drama, Mystery, Romance, Thriller"
139,The Circle,2017-04-28,"Drama, Sci-Fi, Thriller"
140,From Fat to Finish Line,2016-08-02,Documentary
141,Girl Missing,2015-10-25,Thriller
142,Seven Psychopaths,2012-10-12,"Comedy, Crime"
143,The Giant,2017-10-20,"Drama, History"
144,How the Grinch Stole Christmas,2000-11-17,"Comedy, Family, Fantasy"
145,Runnin' Down a Dream,2007-10-14,"Documentary, Music"
146,Deepwater Horizon,2016-09-30,"Action, Drama, History, Thriller"
147,Sisters,2015-12-18,Comedy
148,The Girl Who Played with Fire,2010-08-27,"Crime, Drama, Mystery, Thriller"
149,San Andreas,2015-05-29,"Action, Adventure, Drama, Thriller"
150,Koi... Mil Gaya,2003-08-08,"Action, Drama, Romance, Sci-Fi"
151,American Gangster,2007-11-02,"Biography, Crime, Drama, Thriller"
152,How to Get Over a Breakup,2018-05-31,Comedy
153,Set It Up,2018-06-15,"Comedy, Romance"
154,The Dolphin,2009-10-08,"Animation, Adventure, Family"
155,Twisted,2004-02-27,"Crime, Drama, Mystery, Thriller"
156,Poltergeist III,1988-06-10,"Horror, Thriller"
157,Temple,2017-09-01,"Adventure, Drama, Horror"
158,Derren Brown: The Push,2015-11-08,NOT AVAILABLE
159,The Martian,2015-10-02,"Adventure, Drama, Sci-Fi"
160,A Christmas Detour,2015-11-28,"Comedy, Romance"
161,Halo 4: Forward Unto Dawn,2012-10-05,"Action, Adventure, Family, Sci-Fi, Thriller, War"
162,Battle Royale,2000-12-16,"Action, Adventure, Drama, Sci-Fi, Thriller"
163,The Accidental Husband,2008-02-29,"Comedy, Romance"
164,Redcon-1,2019-05-03,"Action, Horror, Thriller"
165,Casper's Haunted Christmas,2000-10-31,"Animation, Comedy, Family, Fantasy, Horror"
166,Lusers,2015-10-01,"Adventure, Comedy"
167,Golden Years,2016-04-29,"Action, Comedy, Crime, Drama"
168,Captain Phillips,2013-10-11,"Biography, Crime, Drama, Thriller"
169,Thief,1981-03-27,"Action, Crime, Drama, Thriller"
170,Friends with Kids,2012-03-16,"Comedy, Drama, Romance"
171,Don't Kill It,2017-03-03,"Action, Comedy, Fantasy, Horror"
172,Nim's Island,2008-04-04,"Adventure, Family, Fantasy"
173,Veerappan,2016-05-27,"Action, Biography, Crime"
174,Mother's Day,2016-04-29,"Comedy, Drama, Romance"
175,Cloudy with a Chance of Meatballs 2,2013-09-27,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi"
176,District 9,2009-08-14,"Action, Sci-Fi, Thriller"
177,Hot Bot,2016-03-01,"Comedy, Sci-Fi"
178,A Flying Jatt,2016-08-25,"Action, Adventure, Comedy, Drama, Sci-Fi"
179,Diary of the Dead,2008-02-22,"Fantasy, Horror, Sci-Fi, Thriller"
180,High Risk,1995-07-12,"Action, Comedy, Crime, Thriller"
181,On Yoga The Architecture of Peace,2017-11-16,Documentary
182,From Japan to Egypt,2017-01-06,NOT AVAILABLE
183,Manhole,2014-10-08,"Horror, Thriller"
184,Baby Mama,2008-04-25,"Comedy, Romance"
185,Reclaim,2014-09-19,"Action, Crime, Drama, Thriller"
186,#realityhigh,2017-09-08,"Comedy, Drama, Romance"
187,Sandy Wexler,NOT AVAILABLE,NOT AVAILABLE
188,Silencer,2018-09-04,"Action, Drama, Thriller"
189,Larry Crowne,2011-07-01,"Comedy, Drama, Romance"
190,Mission: Impossible II,2000-05-24,"Action, Adventure, Thriller"
191,Off Course,2015-03-06,Comedy
192,American Sniper,2015-01-16,"Action, Biography, Drama, War"
193,Tope: The Bait,2016-09-01,NOT AVAILABLE
194,The Seventh Sign,1988-04-01,"Drama, Fantasy, Horror, Thriller"
195,A Walk Among the Tombstones,2014-09-19,"Action, Crime, Drama, Mystery, Thriller"
196,The Hunter,2011-10-06,"Adventure, Drama, Thriller"
197,Natascha Kampusch: The Whole Story,NOT AVAILABLE,Documentary
198,The Ides of March,2011-10-07,"Drama, Thriller"
199,Full Out,2015-09-11,"Biography, Drama, Family, Sport"
200,Bleach,2018-07-20,"Action, Adventure, Fantasy"
201,Foo Fighters: Back and Forth,2011-04-05,"Documentary, Music"
202,The Hunger Games: Catching Fire,2013-11-22,"Action, Adventure, Mystery, Sci-Fi, Thriller"
203,Aquarius,2016-09-01,Drama
204,Jay and Silent Bob Strike Back,2001-08-24,Comedy
205,Quarantine,2008-10-10,"Action, Horror, Sci-Fi, Thriller"
206,Land of the Lost,2009-06-05,"Action, Adventure, Comedy, Sci-Fi"
207,50/50,2011-09-30,"Comedy, Drama, Romance"
208,Saved!,2004-06-11,"Comedy, Drama"
209,The Humanity Bureau,2018-04-06,"Action, Adventure, Sci-Fi, Thriller"
210,You Don't Mess with the Zohan,2008-06-06,Comedy
211,Genghis Khan,1965-06-23,"Adventure, Drama, History, War"
212,The Mummy: Tomb of the Dragon Emperor,2008-08-01,"Action, Adventure, Fantasy, Horror, Thriller"
213,The Good Night,2008-01-18,"Comedy, Drama, Fantasy, Music, Romance"
214,Vicky Cristina Barcelona,2008-08-15,"Comedy, Drama, Romance"
215,Son of Alladin,NOT AVAILABLE,NOT AVAILABLE
216,Transporter 3,2008-11-26,"Action, Thriller"
217,Pitch Perfect 2,2015-05-15,"Comedy, Music"
218,Dragons: Dawn of the Dragon Racers,2014-11-11,"Animation, Short, Adventure, Comedy, Family, Fantasy"
219,Tamanchey,2014-10-10,"Crime, Romance"
220,The Tourist,2010-12-10,"Action, Adventure, Crime, Mystery, Romance, Thriller"
221,I Am Wrath,2016-04-15,"Action, Crime, Drama, Thriller"
222,Fittest on Earth: The Story of the 2015 Reebok CrossFit Games,2016-02-23,"Documentary, Sport"
223,David Bowie: Five Years,2013-05-25,Documentary
224,Air Bud: Spikes Back,2003-06-24,"Comedy, Family, Sport"
225,Ukraine Is Not a Brothel,2016-03-08,"Documentary, News"
226,I'll Be Home for Christmas,2016-11-27,"Drama, Family, Romance"
227,Sicario: Day of the Soldado,2018-06-29,"Action, Adventure, Crime, Drama, Mystery, Thriller"
228,The Magnificent Seven,2016-09-23,"Action, Adventure, Western"
229,A Witches' Ball,2018-10-01,Family
230,Impostor,2002-01-04,"Drama, Mystery, Sci-Fi, Thriller"
231,Teefa in Trouble,2018-07-20,"Action, Comedy, Crime, Romance"
232,Sex Doll,2017-02-10,Thriller
233,Love Per Square Foot,2018-02-14,"Comedy, Romance"
234,The Transporter Refueled,2015-09-04,"Action, Adventure, Thriller"
235,The Twilight Saga: Breaking Dawn: Part 2,2012-11-16,"Adventure, Drama, Fantasy, Romance"
236,Santa Claws,2015-12-03,"Family, Fantasy"
237,Mountain Men,2016-01-29,"Comedy, Drama"
238,Louis Theroux: The City Addicted to Crystal Meth,2009-08-09,Documentary
239,Joey,1997-12-26,"Family, Adventure, Comedy"
240,I Feel Pretty,2018-04-20,"Comedy, Romance"
241,Terminus,2016-01-22,"Drama, Sci-Fi"
242,Elle,2016-11-11,"Crime, Drama, Thriller"
243,Meet the Blacks,2016-04-01,"Comedy, Horror"
244,Tracers,2015-03-20,"Action, Crime, Drama, Thriller"
245,Bottom of the World,2017-03-01,"Drama, Mystery, Thriller"
246,Takers,2010-08-27,"Action, Crime, Thriller"
247,Open Season,2006-09-29,"Animation, Adventure, Comedy, Family, Fantasy"
248,Rise of the Guardians,2012-11-21,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi"
249,Savage Dog,2017-08-04,"Action, Drama"
250,Oblivion,2013-04-19,"Action, Adventure, Sci-Fi"
251,Sierra Burgess Is A Loser,2018-09-07,"Comedy, Drama, Romance"
252,Chappie,2015-03-06,"Action, Crime, Drama, Sci-Fi, Thriller"
253,Monster: The Josef Fritzl Story,NOT AVAILABLE,"Documentary, Crime"
254,Three,2016-06-24,"Action, Crime, Thriller"
255,Say When,2014-10-24,"Comedy, Drama, Romance"
256,Peter Pan,2003-12-25,"Adventure, Family, Fantasy, Romance"
257,T2 Trainspotting,2017-03-31,Drama
258,The Patriot,2000-06-28,"Action, Drama, History, War"
259,We're Back! A Dinosaur's Story,1993-11-24,"Animation, Adventure, Comedy, Family, Fantasy"
260,How to Make Love Like an Englishman,2015-08-21,"Comedy, Romance"
261,21,2008-03-28,"Crime, Drama, History, Thriller"
262,ReMastered: Devil at the Crossroads,2019-04-26,"Documentary, Biography"
263,Violet & Daisy,2013-06-06,"Action, Comedy, Crime"
264,Bait,2015-09-04,"Drama, Thriller"
265,Restrepo,2010-08-06,"Documentary, Biography, War"
266,Colours of Passion,2014-11-07,"Biography, Drama, Romance"
267,Patriots Day,2017-01-13,"Action, Crime, Drama, History, Thriller"
268,IBOY,2017-01-27,"Action, Crime, Sci-Fi, Thriller"
269,Divines,2016-11-18,"Crime, Drama"
270,The Ridiculous 6,2015-12-11,"Action, Adventure, Comedy, Western"
271,Supernova,2000-01-14,"Horror, Sci-Fi, Thriller"
272,The Guardian Brothers,2016-01-01,"Animation, Comedy, Family, Fantasy"
273,Wind River,2017-08-18,"Crime, Drama, Mystery, Thriller"
274,Nell,1994-12-23,Drama
275,Kidnap,2017-08-04,"Action, Crime, Drama, Thriller"
276,Pitch Black,2000-02-18,"Action, Horror, Sci-Fi"
277,Banking on Bitcoin,NOT AVAILABLE,"Documentary, History, News"
278,The Twilight Saga: Breaking Dawn: Part 1,2011-11-18,"Adventure, Drama, Fantasy, Romance, Thriller"
279,Jack Reacher,2012-12-21,"Action, Thriller"
280,Get Me Roger Stone,2017-05-12,"Documentary, Biography"
281,Layer Cake,2005-06-03,"Action, Crime, Drama, Thriller"
282,The Guilt Trip,2012-12-19,"Comedy, Drama"
283,Return to Sender,2015-08-14,"Drama, Thriller"
284,The Laws of Thermodynamics,2018-08-31,Comedy
285,The Legend of 420,2017-09-20,"Documentary, Comedy"
286,That Awkward Moment,2014-01-31,"Comedy, Romance"
287,Cropsey,2009-04-25,"Documentary, Crime, Horror, Mystery"
288,Annihilation,2018-02-23,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller"
289,Our House,2018-07-27,"Drama, Horror, Mystery, Sci-Fi, Thriller"
290,The Worthy,2017-02-23,"Action, Sci-Fi, Thriller"
291,Little Fockers,2010-12-22,"Comedy, Romance"
292,Grimsby,2016-03-11,"Action, Adventure, Comedy, Crime, Thriller"
293,Back to the Future,1985-07-03,"Adventure, Comedy, Sci-Fi"
294,Couples Retreat,2009-10-09,Comedy
295,Babes in Toyland,1986-12-19,"Adventure, Family, Fantasy, Musical, Romance"
296,Money,2017-06-27,"Crime, Mystery, Thriller"
297,Because We're Heading Out,2016-09-08,Comedy
298,The Boss's Daughter,2016-01-06,"Comedy, Drama, Romance"
299,Divergent,2014-03-21,"Action, Adventure, Mystery, Sci-Fi"
300,Mubarakan,2017-07-28,"Comedy, Romance"
301,Eyyvah Eyyvah 3,2014-01-31,Comedy
302,Driven to Kill,2009-05-19,"Action, Crime, Thriller"
303,The Bad Education Movie,2015-08-21,Comedy
304,Seduced,2016-04-20,"Drama, Thriller"
305,A Futile and Stupid Gesture,2018-01-26,"Biography, Comedy"
306,6 Souls,2013-03-01,"Horror, Mystery, Thriller"
307,A Weekend with the Family,2016-04-01,Comedy
308,Pyaar Ka Punchnama 2,2015-10-16,"Comedy, Drama, Romance"
309,Date with Love,2016-05-21,"Comedy, Romance"
310,The Art of Loving,2017-01-27,"Biography, Comedy, Drama, Romance"
311,Fast Five,2011-04-29,"Action, Adventure, Crime, Thriller"
312,Concussion,2015-12-25,"Biography, Drama, Sport"
313,John Wick,2014-10-24,"Action, Crime, Thriller"
314,American Experience: Tesla,2016-10-18,"Documentary, Biography, History"
315,Madagascar 3: Europe's Most Wanted,2012-06-08,"Animation, Adventure, Comedy, Family"
316,Adventureland,2009-04-03,"Comedy, Drama, Romance"
317,Harold & Kumar Go to White Castle,2004-07-30,"Adventure, Comedy"
318,The Doll,2019-01-15,"Horror, Thriller"
319,Trainwreck,2015-07-17,"Comedy, Drama, Romance"
320,Soorma,2018-07-13,"Biography, Drama, Sport"
321,Schindler's List,1994-02-04,"Biography, Drama, History"
322,Floating!,2016-01-07,"Comedy, Drama"
323,Ip Man,2008-12-12,"Action, Biography, Drama, History"
324,A Scandall,2016-06-24,Thriller
325,Revolt,2017-07-01,"Action, Adventure, Sci-Fi"
326,Colors of Heaven,NOT AVAILABLE,NOT AVAILABLE
327,Zoolander 2,2016-02-12,"Action, Adventure, Comedy, Mystery, Romance"
328,Ella Enchanted,2004-04-09,"Comedy, Family, Fantasy, Romance"
329,What We Did on Our Holiday,2015-07-10,"Comedy, Drama"
330,The Chosen Ones,2016-01-20,Drama
331,Kung Fu Panda,2008-06-06,"Animation, Action, Adventure, Comedy, Family"
332,Gangs of New York,2002-12-20,"Crime, Drama"
333,B.A. Pass 2,2017-09-15,Drama
334,Maid in Manhattan,2002-12-13,"Comedy, Drama, Romance"
335,Bee Movie,2007-11-02,"Animation, Adventure, Comedy, Family"
336,Stasis,2017-08-29,"Action, Adventure, Sci-Fi"
337,211,2018-06-08,"Action, Crime, Drama"
338,The Hitman's Bodyguard,2017-08-18,"Action, Comedy, Crime, Thriller"
339,Iron Man 2,2010-05-07,"Action, Adventure, Sci-Fi"
340,Welcome to Yesterday,2015-01-30,"Drama, Mystery, Sci-Fi, Thriller"
341,Duck Butter,2018-04-27,"Comedy, Drama, Romance"
342,Barbie Dolphin Magic,2017-09-18,"Animation, Adventure, Family, Fantasy"
343,The Guest House,2012-09-04,Romance
344,The Blackcoat's Daughter,2017-02-16,"Horror, Mystery, Thriller"
345,"Angus, Thongs and Perfect Snogging",2008-07-25,"Comedy, Drama, Romance"
346,Bridge to Terabithia,2007-02-16,"Drama, Family, Fantasy"
347,One Night,NOT AVAILABLE,"Drama, Romance"
348,Europa Report,2013-06-27,"Drama, Mystery, Sci-Fi, Thriller"
349,Happy Christmas,2014-06-26,"Comedy, Drama"
350,Baazaar,2018-10-26,"Crime, Drama, Thriller"
351,Changing Lanes,2002-04-12,"Drama, Thriller"
352,The Wolf of Wall Street,2013-12-25,"Biography, Crime, Drama"
353,Bokeh,2017-03-24,"Drama, Sci-Fi"
354,The Best Offer,2014-01-01,"Crime, Drama, Mystery, Romance"
355,Battle Drone,2018-03-01,"Action, Sci-Fi"
356,A Christmas Horror Story,2015-10-02,"Fantasy, Horror, Mystery, Sci-Fi, Thriller"
357,Lucid Dream,2017-06-02,"Sci-Fi, Thriller"
358,A Knight's Tale,2001-05-11,"Action, Adventure, Romance"
359,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014-12-19,"Animation, Comedy, Drama"
360,Spring Breakers,2013-03-22,"Crime, Drama"
361,Kill Bill: Vol. 1,2003-10-10,"Action, Crime, Thriller"
362,Inferno,2016-10-28,"Action, Adventure, Crime, Drama, Mystery, Thriller"
363,Omar and Salma 3,2012-02-23,"Comedy, Romance"
364,Sundown,2016-05-13,"Action, Comedy, Romance"
365,Nasha,2013-07-26,"Drama, Thriller"
366,Cocaine Cowboys,2007-11-23,"Documentary, Crime, History"
367,Uptown Girls,2003-08-15,"Comedy, Drama, Romance"
368,Ms. Matched,2016-06-04,"Comedy, Romance"
369,Mac & Devin Go to High School,2012-07-03,Comedy
370,The Other Side of the Door,2016-03-04,Horror
371,Warm Bodies,2013-02-01,"Comedy, Horror, Romance"
372,The Road,2009-11-25,Drama
373,Theater of Life,2016-10-10,Documentary
374,Screwed,2011-06-03,"Crime, Drama"
375,Deadpool,2016-02-12,"Action, Adventure, Comedy, Sci-Fi"
376,Alvin and the Chipmunks: The Road Chip,2015-12-18,"Animation, Adventure, Comedy, Family, Fantasy, Music"
377,The Purge,2013-06-07,"Horror, Thriller"
378,Leap!,2017-08-25,"Animation, Adventure, Comedy, Family, Music"
379,The Lazarus Effect,2015-02-27,"Horror, Mystery, Sci-Fi, Thriller"
380,Fast & Furious 6,2013-05-24,"Action, Adventure, Thriller"
381,X: Past Is Present,2015-11-20,"Drama, Mystery, Romance"
382,Holy Goalie,2018-04-27,Comedy
383,Garbage,2018-05-20,"Drama, Thriller"
384,OtherLife,2017-10-15,"Crime, Mystery, Sci-Fi, Thriller"
385,Beyond Borders,2003-10-24,"Adventure, Drama, Romance, War"
386,The Interview,2014-12-24,"Action, Adventure, Comedy"
387,The Expendables 3,2014-08-15,"Action, Adventure, Thriller"
388,The Fast and the Furious,2001-06-22,"Action, Crime, Thriller"
389,Henry Gamble's Birthday Party,2016-01-08,Drama
390,Check Point,2017-01-20,"Action, Thriller, War"
391,Icarus,2017-08-04,"Documentary, Sport, Thriller"
392,The Miseducation of Cameron Post,2018-09-07,Drama
393,Need for Speed,2014-03-14,"Action, Crime, Thriller"
394,The Rewrite,2015-02-13,"Comedy, Romance"
395,Victor Frankenstein,2015-11-25,"Drama, Horror, Sci-Fi, Thriller"
396,Escorts,2015-05-21,Documentary
397,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-10,"Comedy, Family"
398,After Porn Ends,2012-05-21,Documentary
399,The Guv'nor,2016-10-05,Documentary
400,Blow Out,1981-07-24,"Crime, Drama, Mystery, Thriller"
401,6 Days,2017-08-18,"Action, Drama, History, Thriller"
402,Irreplaceable You,2018-02-16,"Comedy, Drama, Romance"
403,The Killer,2017-11-10,Western
404,Honey 2,2011-08-01,"Comedy, Drama, Music"
405,The Perks of Being a Wallflower,2012-10-12,"Drama, Romance"
406,Luck,2009-07-31,"Action, Adventure, Drama, Thriller"
407,50 First Dates,2004-02-13,"Comedy, Drama, Romance"
408,Power Rangers Super Megaforce: The Legendary Battle (Extended),2014-11-22,"Action, Adventure, Fantasy"
409,Pehchaan: The Face of Truth,2005-06-24,Drama
410,The 6th Day,2000-11-17,"Action, Mystery, Sci-Fi, Thriller"
411,Endless Love,2014-02-14,"Drama, Romance"
412,When the Bough Breaks,2016-09-09,"Crime, Drama, Horror, Mystery, Romance, Thriller"
413,Creep 2,2017-10-24,"Horror, Thriller"
414,Chalk It Up,2016-09-13,Comedy
415,When We First Met,2018-02-09,"Comedy, Fantasy, Romance"
416,The Keep,1983-12-16,"Drama, Fantasy, Horror"
417,The Bomb,2017-08-01,Documentary
418,World War Z,2013-06-21,"Action, Adventure, Horror, Sci-Fi"
419,The Holiday,2006-12-08,"Comedy, Romance"
420,Assassin's Creed,2016-12-21,"Action, Adventure, Sci-Fi"
421,Closer,2004-12-03,"Drama, Romance"
422,The Smurfs 2,2013-07-31,"Animation, Adventure, Comedy, Family, Fantasy"
423,"Abdullah, The Final Witness",2016-10-28,"Action, Crime, Drama, Thriller"
424,Nick of Time,1995-11-22,"Action, Crime, Drama, Thriller"
425,"Mum, Dad, Meet Sam",2014-12-06,"Comedy, Romance"
426,Lens,NOT AVAILABLE,"Drama, Mystery, Thriller"
427,Max Steel,2016-10-14,"Action, Adventure, Fantasy, Sci-Fi"
428,Mary Kom,2014-09-05,"Action, Biography, Drama, Sport"
429,Errementari: The Blacksmith and the Devil,2018-10-12,"Fantasy, Horror"
430,The Wailing,2016-06-03,"Horror, Mystery, Thriller"
431,A Good Marriage,2014-10-03,"Crime, Drama, Thriller"
432,By the Sea,2015-12-09,"Drama, Romance"
433,Agent Cody Banks 2: Destination London,2004-03-12,"Action, Adventure, Comedy, Family, Romance, Sci-Fi"
